hotel_id,name,city,google_rating,price_per_night_inr,amenities,source,total_reviews,condition_label,description
1,"""Shree"" Home Stay",Jodhpur,8.5,,,booking,19.0,Very good,"Situated 10 km from Mehrangarh Fort, ""Shree"" Home Stay offers a terrace, and accommodation with a balcony and free WiFi. There is a fully equipped private bathroom with shower and free toiletries."
2,(KEL0) Heart of the City - 1Bed/Studio/Annexe with Kitchen-Private Entrance,Chennai,,,,booking,,,"Located 3.9 km from Chennai Central Railway Station and 4 km from Spencer Plaza Mall, (KEL0) Heart of the City - 1Bed/Studio/Annexe with Kitchen-Private Entrance offers accommodation in a central area..."
3,-,meerut,3.9,4680.0,"Free Wi-Fi, Paid parking, Air conditioning, Kitchen, Full-service laundry, 0, 0, 0, 0",google,,,
4,1 BHK - Singasandra - Nova Blue,Bangalore,8.2,,,booking,5.0,Very good,"1 BHK - Singasandra - Nova Blue is situated in the Electronic City district of Bangalore, 10 km from Forum Mall, Koramangala and 14 km from Brigade Road. Free WiFi is available throughout the..."
5,1 BHK Condo,Hyderabad,9.0,,,booking,1.0,Superb,"1 BHK Condo is situated in Hyderabad, 10 km from ISB, 11 km from Hussain Sagar Lake, and 11 km from Ravindra Bharathi."
6,1 BHK flat with Free Wi Fi Kitchen,Pune,8.2,,,booking,76.0,Very good,Travel Sustainable property
7,1 BHK independent house 800 sq feet VIP Location,Ayodhya,9.5,,,booking,6.0,Exceptional,"1 BHK independent house 800 sq feet VIP Location, a property with a terrace, is set in Ayodhya, 8.6 km from Faizabad Railway Station."
8,1. Luxurious studio appt. under most happening brewery in city !!,Jaipur,10.0,,,booking,1.0,Exceptional,"Located in Jaipur, 1. Luxurious studio appt. Under most happening brewery in city!! provides accommodation with a private pool."
9,10 Guests-For families-with Air Conditioner,Hyderabad,9.0,,,booking,41.0,Superb,Travel Sustainable property
10,1589 Hotels,Jaipur,,,,booking,,,"Set in Jaipur, within 4.9 km of Govind Dev Ji Temple and 5.5 km of Birla Mandir Temple, Jaipur, 1589 Hotels offers accommodation with a garden and free WiFi throughout the property as well as free..."
11,16th Floor 2BHK Fully Furnished Service Apartment,Indore,,,,booking,,,"Featuring city views, 16th Floor 2BHK Fully Furnished Service Apartment provides accommodation with a balcony, around 10 km from Indore Junction Station."
12,16th Floor 3BHK Fully Furnished Service Apartment,Indore,,,,booking,,,Travel Sustainable property
13,"1Bedroom AC Apartment for RENT , FULLY FURNISHED 1RK",Kolkata,7.0,,,booking,1.0,Good,"Set in Kolkata in the West Bengal region, 1Bedroom AC Apartment for RENT, FULLY FURNISHED 1RK features a balcony. This apartment is 5.7 km from Kalighat Kali Temple and 7.5 km from Indian Museum."
14,"1BHK - E City, Blr-Bh08",Bangalore,,,,booking,,,"1BHK - E City, Blr-Bh08 is set in the Electronic City district of Bangalore, 16 km from Brigade Road, 18 km from Chinnaswamy Stadium and 18 km from Bull Temple."
15,1BHK AC Service Apartment 103,Pune,10.0,,,booking,4.0,Exceptional,"Boasting garden views, 1BHK AC Service Apartment 103 offers accommodation with a terrace and a balcony, around 19 km from Pataleshwar Cave Temple."
16,1BHK AC Service Apartment 115,Pune,8.5,,,booking,4.0,Very good,Travel Sustainable property
17,1BHK AC Service Apartment 116,Pune,,,,booking,,,"Featuring garden views, 1BHK AC Service Apartment 116 provides accommodation with a terrace and a balcony, around 19 km from Pataleshwar Cave Temple."
18,1BHK AC Service Apartment 202,Pune,,,,booking,,,"Set in Pune, 15 km from Pataleshwar Cave Temple and 16 km from Fergusson College, 1BHK AC Service Apartment 202 provides accommodation with amenities such as free WiFi and a flat-screen TV."
19,1BHK AC Service Apartment 301,Pune,10.0,,,booking,2.0,Exceptional,"Boasting city views, 1BHK AC Service Apartment 301 features accommodation with a garden and a terrace, around 12 km from University of Pune."
20,1BHK Condo @Shapura,Bhopal,9.0,,,booking,2.0,Superb,Travel Sustainable property
21,1BHK Luxury Penthouse with Private Terrace Garden,Jaipur,9.5,,,booking,2.0,Exceptional,"1BHK Luxury Penthouse with Private Terrace Garden, a property with a garden, is set in Jaipur, 5.2 km from Govind Dev Ji Temple, 6.8 km from Birla Mandir Temple, Jaipur, as well as 8.9 km from City..."
22,1BHK Service Apartment 407,Pune,,,,booking,,,"Set in Pune, 32 km from Pataleshwar Cave Temple, 32 km from Bund Garden and 33 km from Fergusson College, 1BHK Service Apartment 407 offers accommodation with a balcony and free WiFi."
23,1BHK Super Premium Apartment in Central Jaipur,Jaipur,10.0,,,booking,1.0,Exceptional,"Situated in Jaipur, 2.3 km from City Palace and 300 metres from the centre, 1BHK Super Premium Apartment in Central Jaipur features air-conditioned accommodation with free WiFi, and a terrace."
24,1BR Luxury Studio Apartment-Best for Couples/Solos,Jaipur,,,,booking,,,"Boasting air-conditioned accommodation with a balcony, 1BR Luxury Studio Apartment-Best for Couples/Solos is set in Jaipur."
25,2 bedroom AC condo with free parking,Visakhapatnam,,,,booking,,,"Located 28 km from Indira Gandhi Zoological Park, 11 km from Dolphins Nose Park and 18 km from Daba Gardens, 2 bedroom AC condo with free parking provides accommodation set in Visakhapatnam."
26,2 Bedroom Villa with Terrace - Child Friendly Wifi by Vacation Pod,Jaipur,9.0,,,booking,2.0,Superb,"Located in Jaipur, 5 km from Jaipur Railway Station, 6.8 km from Birla Mandir Temple, Jaipur and 8.8 km from City Palace, 2 Bedroom Villa with Terrace - Child Friendly Wifi by Vacation Pod provides..."
27,2 BHK Ac or non Ac Luxurious Appartment Bavdhan Pune,Pune,,,,booking,,,"Set in Pune in the Maharashtra region, 2 BHK Ac or non Ac Luxurious Appartment Bavdhan Pune features a terrace and city views."
28,2 bhk fully furnished ganges view flat,Kolkata,5.3,,,booking,4.0,Review score,"Set in Kolkata, 15 km from Kalighat Kali Temple and 17 km from Nandan, 2 bhk fully furnished ganges view flat offers accommodation with free WiFi and a garden with a terrace and garden views."
29,2 bhk fully furnished luxurious private apartment,Jaipur,9.5,,,booking,2.0,Exceptional,"Featuring garden views, 2 bhk fully furnished luxurious private apartment provides accommodation with a terrace and a balcony, around 13 km from Govind Dev Ji Temple."
30,2 BHK Home in KPHB in Peaceful Location,Hyderabad,10.0,,,booking,1.0,Exceptional,"2 BHK Home in KPHB in Peaceful Location is located in Hyderabad, 15 km from City Centre Mall, 16 km from Golkonda Fort, and 19 km from Ravindra Bharathi."
31,2 BHK Home in KPHB in Prime Location,Hyderabad,9.5,,,booking,2.0,Exceptional,"Situated 9.4 km from ISB, 15 km from City Centre Mall and 16 km from Golkonda Fort, 2 BHK Home in KPHB in Prime Location features accommodation located in Hyderabad."
32,"2 BHK near Jaipur airport, EHCC & Fortis Hospital",Jaipur,,,,booking,,,"Set in Jaipur, 7 km from Govind Dev Ji Temple and 7.6 km from Birla Mandir Temple, Jaipur, 2 BHK near Jaipur airport, EHCC & Fortis Hospital offers free WiFi and air conditioning."
33,27 Axis Villa in Alibaug,Alibag,,,,booking,,,"Featuring an outdoor swimming pool, a garden, and a shared lounge, 27 Axis Villa in Alibaug offers accommodation in Alibag with free WiFi and garden views."
34,"2BHK AIRPORT 5KM ,RAILWAY STATION 5KM",Lucknow,7.0,,,booking,1.0,Good,"Offering garden views, 2BHK AIRPORT 5KM, RAILWAY STATION 5KM is an accommodation situated in Lucknow, 9 km from Lucknow University and 4.4 km from Lucknow Junction Railway Station."
