restaurant_id,name,city,area,cuisine,rating,is_pure_veg,source,avg_delivery_time,avg_price_for_two
1,Sonsale Paan Shop (Jaani),Solapur,Central Solapur,Paan,5.0,True,swiggy,,100.0
2,Cafe M,Abohar,Central Abohar,"Continental, Snacks",5.0,True,swiggy,,200.0
3,Bharat Pawar Savaji Gharguti Jevan,Solapur,Central Solapur,Indian,5.0,False,swiggy,,200.0
4,Om Veg Restaurant,Aurangabad,CIDCO,"Maharashtrian, Healthy Food",5.0,True,swiggy,,150.0
5,Baskin Robbins - Ice Cream Desserts,Kanchrapara,"JESSORE ROAD SOUTH
1578.0 km
â¾","Desserts, Ice Cream",5.0,True,swiggy,,250.0
6,The 36 - The Ultimate Chinese Cuisine,Kanchrapara,"Sodepur
1573.0 km","Chinese, Fast Food",5.0,False,swiggy,,400.0
7,Deep Sandwich - Nutan Nagar,Rajkot,Kotecha Nagar,"Fast Food, Snacks",5.0,True,swiggy,,200.0
8,Royal Biryani,Deoria-City,Deoria,"Biryani, Snacks",5.0,False,swiggy,,300.0
9,Fresh Crush,Madurai,Mattuthavani,Indian,5.0,True,swiggy,,300.0
10,Agape Home Foods,Visakhapatnam,Madhurawada,South Indian,5.0,False,swiggy,,50.0
11,Lucky'S Spice Den,Visakhapatnam,Pendurthi,Chinese,5.0,False,swiggy,,250.0
12,Koushik Food Court,Visakhapatnam,Kurmannapalem,"Chinese, Snacks",5.0,False,swiggy,,150.0
13,Taste Town,Rajkot,Race Course Road,"Snacks, Burgers",5.0,True,swiggy,,300.0
14,Gourmet Ice Cream Cakes By Baskin Robbins,Rajkot,Race Course Road,"Desserts, Ice Cream",5.0,True,swiggy,,300.0
15,Bong Punjabi Rasoi,Asansol,Ushagram,"Punjabi, Thalis",5.0,False,swiggy,,150.0
16,Beyond Healthy,Hosur,Mahadevpura,"Pizzas, Desserts",5.0,True,swiggy,,200.0
17,Juice Land,Thiruvananthapuram,Thampanoor,"Beverages, Juices",5.0,True,swiggy,,200.0
18,129 Whiskk Avenue,Aurangabad,Usmanpura,"Indian, Pizzas",5.0,False,swiggy,,899.0
19,Gourmet Ice Cream Cakes By Baskin Robbins,Hubli,Vidya Nagar,"Ice Cream Cakes, Desserts",5.0,True,swiggy,,200.0
20,Kaka'S Kabab N Chicken,Deoghar,Bompas Town,"Snacks, North Indian",5.0,False,swiggy,,500.0
21,Raja Rani Shop In,Madurai,Periyar,"South Indian, Snacks",5.0,True,swiggy,,200.0
22,Grill Out Resto,Adoni,Bharpet,"Grill, Fast Food",5.0,False,swiggy,,298.0
23,Burhanpur Khava Jilebi,Solapur,Central Solapur,Sweets,5.0,True,swiggy,,200.0
24,Royal Home Kitchen,Visakhapatnam,Pendurthi,"North Indian, Chinese",5.0,False,swiggy,,199.0
25,Cake Story Desserts & Bakers,Deoria-City,Deoria,Bakery,5.0,True,swiggy,,400.0
26,Tandoor Wale,Asansol,Asansol Locality,"Indian, Snacks",5.0,False,swiggy,,200.0
27,Burger Bhau,Rajkot,Race Course,"Burgers, Fast Food",5.0,True,swiggy,,150.0
28,Ande Ka Fanda,Aurangabad,Gadia Vihar,Fast Food,5.0,False,swiggy,,100.0
29,AB'S - Absolute Barbecues,Kanchrapara,"Barasat
1579.3 km
â¾","Biryani, Kebabs",5.0,False,swiggy,,500.0
30,The Hidden Kitchen,Aurangabad,Nageshwar Wadi,"Fast Food, Indian",5.0,False,swiggy,,300.0
31,The Bowl Express,Aurangabad,Usmanpura,"Indian, Chinese",5.0,False,swiggy,,200.0
32,Varniraj Restaurant,Rajkot,Opp. Parimal School,"Gujarati, Punjabi",5.0,True,swiggy,,200.0
33,Theka Coffee,Rajkot,Kalawad Road,"Beverages, Cafe",5.0,True,swiggy,,270.0
34,Coffee Stand,Rajkot,Kalawad Road,Pizzas,5.0,True,swiggy,,400.0
35,Happiness Cook,Asansol,Ushagram,"Italian, Pizzas",5.0,False,swiggy,,49.0
36,Tea Day,Hosur,Bellandur,Beverages,5.0,True,swiggy,,150.0
37,Devika Kitchen,Aurangabad,CIDCO,"Beverages, North Indian",5.0,True,swiggy,,250.0
38,Tadhak - Juice & Shake,Rajkot,150 Ft Ring Road,"Juices, Beverages",5.0,True,swiggy,,200.0
39,Shree Shakti Kothi Icecream,Rajkot,Arya Nagar,"Ice Cream, Desserts",5.0,True,swiggy,,90.0
40,Snacks Time,Madurai,KK Nagar,"Beverages, Burgers",5.0,False,swiggy,,300.0
41,Moms Kitchen Co,Solapur,Central Solapur,"Indian, Fast Food",5.0,True,swiggy,,200.0
42,Hotel Sri Nachiyar Pure Veg,Madurai,Periyar,"South Indian, Biryani",5.0,True,swiggy,,200.0
43,Biryani Ours,Deoghar,Bompas Town,"Biryani, Mughlai",5.0,True,swiggy,,200.0
44,Bilal Thattukada,Thiruvananthapuram,Kazhakkoottam,"South Indian, Biryani",5.0,False,swiggy,,200.0
45,Fresh Cake Bakers,Aurangabad,Waluj,Bakery,5.0,True,swiggy,,200.0
46,Tasty Biryani House,Aurangabad,Usmanpura,Biryani,5.0,False,swiggy,,300.0
47,Prem'S,Aurangabad,Cidco,"Beverages, Chinese",5.0,True,swiggy,,400.0
48,Renu Family Restaurant,Asansol,Neamatpur,North Indian,5.0,False,swiggy,,200.0
49,London Dairy,Aurangabad,Usmanpura,"Ice Cream, Desserts",5.0,True,swiggy,,280.0
50,Cold Coffee Break,Aurangabad,CIDCO,"Beverages, Pizzas",5.0,True,swiggy,,200.0
51,Jai Maharashtra Raswanti,Aurangabad,Gulmandi,"Juices, Beverages",5.0,True,swiggy,,40.0
52,Green Chilies Curry Kitchen,Aurangabad,Usmanpura,"Indian, Biryani",5.0,False,swiggy,,500.0
53,Big Eye Food,Rajkot,Opp. Atmiya College,"Snacks, Fast Food",5.0,True,swiggy,,200.0
54,Biryani Mahal,Aurangabad,Usmanpura,Biryani,5.0,False,swiggy,,300.0
55,Tea Fam,Rajkot,Kalawad Road,"Beverages, Fast Food",5.0,True,swiggy,,120.0
56,Maa Annapurna Peda Bhandar,Deoghar,Bompas Town,Sweets,5.0,True,swiggy,,100.0
57,Sunset Shawarma,Madurai,KK Nagar,"Indian, Chinese",5.0,False,swiggy,,200.0
58,Bohri Begum,Visakhapatnam,Madhurawada,Biryani,5.0,False,swiggy,,200.0
59,Aaditya Fast Foods,Visakhapatnam,Gajuwaka,"Chinese, Snacks",5.0,False,swiggy,,199.0
60,Cafe Adda,Aurangabad,Jaswantpura,Beverages,5.0,False,swiggy,,150.0
61,BumbleBee,Aurangabad,Cidco,"North Indian, Indian",5.0,True,swiggy,,500.0
62,Cafe Cpx,Kanchrapara,"Halisahar
1596.5 km","Snacks, Pizzas",5.0,False,swiggy,,300.0
63,Shree Balaji Namkeen & Sweets,Rajkot,Gondal Road,"Sweets, Snacks",5.0,True,swiggy,,200.0
64,Food Genie,Rajkot,Madhapar,Fast Food,5.0,True,swiggy,,160.0
65,BURGER BLIZZ,Rajkot,Field Marshal Road - Mota Mava,Indian,5.0,False,swiggy,,200.0
66,Rajwadi Dabeli,Rajkot,Madhapar,Chaat,5.0,True,swiggy,,200.0
67,Vinayak Chicken Corner & Fish Land,Hubli,Vidya Nagar,"North Indian, Indian",5.0,False,swiggy,,300.0
68,The Mad Pizza Scientist,Rajkot,NANAVATI CHOWK,"Pizzas, Fast Food",5.0,False,swiggy,,300.0
69,El Nino'S Pizza,Delhi,Rohini,"Pizzas, Beverages",5.0,True,swiggy,,400.0
70,KB'S Kitchen,Visakhapatnam,Madhurawada,"North Indian, Chinese",5.0,False,swiggy,,150.0
71,23 Fusion Momos,Dharamshala,Dharamshala City,"Chinese, Beverages",5.0,False,swiggy,,300.0
72,We Chai,Dharapuram,Udumalaipettai,"Snacks, Beverages",5.0,False,swiggy,,149.0
73,Royals Curry Kulambu,Madurai,SS Colony,"Snacks, Pastas",5.0,False,swiggy,,300.0
74,Baba'S Chicken,Jaipur,Raja Park,Indian,5.0,False,swiggy,,300.0
75,The Rose Cafe,Jaipur,Jhotwara,Indian,5.0,False,swiggy,,250.0
76,Laxminath Misthan Bhandar,Jaipur,Vaishali Nagar,"Snacks, Beverages",5.0,True,swiggy,,200.0
77,Desi Curry Kitchen,Delhi,Vikas puri,Indian,5.0,True,swiggy,,249.0
78,ONE BOWL,Rajkot,Bhaktinagar,Indian,5.0,True,swiggy,,199.0
79,Eggies,Hubli,Vidya Nagar,"Indian, Chaat",5.0,False,swiggy,,100.0
80,Myfroyoland - Premium Frozen Yogurt,Thiruvananthapuram,Medical College,"Desserts, Ice Cream",5.0,True,swiggy,,500.0
81,What A Sandwich,Rajkot,Bhaktinagar,"Fast Food, Snacks",5.0,True,swiggy,,200.0
82,Scuzo,Rajkot,Madhapar,"Beverages, Waffle",5.0,True,swiggy,,248.0
